WH_ID,lon,lat,WH_SO,RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,my_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav,dist_m
S19S_0041,-120.858196,44.299994,6 ,15.751,0.770,85.626,5,1.56466,1.47,1472.60724818,51.5061,131,495,452,915,47,14,83,184,62,252,22,346,218,33,299,-78,133,-66,2,12,17,37,25,10,3,49,67,27,3,0,0,0,0,0,2,16,19,37,39,47,42,26,28,22,24,33,0,3,800,610,1.533,10.577,523.931,1.356,21,0,4621,0,2054,44,298,32,0.047639,616.266,928, 8.51042297788
S19S_0042,-80.96434,25.40976,1 ,2.656,0.096,4.495,3,0.508092,17.94,13764.3735977,4.59521,432,0,2,4,0,1,237,92,236,1313,195,1436,1100,74,1162,-12,100,-4,0,0,0,0,0,0,16,0,2,0,15,0,0,0,0,100,76,18,24,29,27,54,49,333,364,74,49,78,100,100,463,2489,0.000,8.891,0.000,16.996,0,1,27,1300,0,342,6,59,0.050123,331.211,892, 376.855444241
S19S_0043,-89.472992,43.14501,3 ,0.136,0.063,0.344,1,0.138754,2.67,2672.14571475,0.642322,301,0,63,276,14,4,77,307,77,801,74,801,677,104,677,-16,114,-16,18,79,18,0,0,45,45,3,3,1,1,0,0,0,0,2,2,18,18,46,46,36,36,23,23,76,30,76,100,100,5053,5053,0.448,0.448,31.533,31.535,0,0,4615,4600,3082,3081,278,278,0.050142,10.6907,945, 867.050472139
S19S_0044,-79.811134,33.131027,3 ,2.583,1.919,3.814,3,0.469602,1.21,1208.00577835,3.21736,385,0,20,10,4,8,180,190,180,1271,101,1278,1067,83,1070,-4,94,-4,1,5,1,100,100,1,0,0,0,0,0,0,0,0,0,0,0,19,17,35,33,46,50,43,47,83,28,83,100,100,67,77,0.008,0.352,2.632,1.685,0,0,547,200,228,95,93,46,0.042583,18.2082,865, 35.274215093
S19S_0045,13.631299,52.475193, ,0.779,0.499,1.230,2,0.278333,5.57,5579.83413085,1.15081,127,0,46,49,7,18,90,196,88,551,37,561,468,80,476,-26,142,-23,14,45,15,26,6,16,47,8,13,0,1,0,0,0,0,30,11,13,15,28,32,59,53,57,38,67,37,70,0,0,30,188,35.191,69.273,1722.393,363.713,63,20,5786,3300,4553,2237,356,246,0.037768,3230.37,929, 210.808092875
S19S_0046,7.21246,61.67559, ,0.199,0.042,0.665,1,0.162764,0.99,992.598690468,1.55859,1437,0,242,1073,243,1535,12,146,12,1421,103,1421,378,77,378,72,96,72,88,100,88,7,7,0,0,0,0,0,0,6,6,0,0,98,98,6,4,41,39,52,46,110,109,99,6,99,0,0,49,49,0.009,0.009,2.237,2.237,0,0,0,0,53,53,14,14,0.06189,0,955, 167.08365071
S19S_0047,-149.40333,68.64278, ,0.448,0.306,0.690,2,0.173638,18.66,17560.4982906,0.652304,121,0,104,897,83,80,-119,396,-121,228,38,230,216,65,216,-37,181,-35,68,100,67,0,0,0,0,0,0,0,0,0,0,99,100,100,100,16,16,42,42,42,42,146,139,66,27,67,0,0,212,692,0.000,0.000,0.000,0.000,0,0,0,0,79,52,14,11,0.058023,0,948, 120.101272498
S19S_0048,-66.98618,18.10996, ,0.303,0.117,0.607,1,0.180454,5.74,5729.7205059,0.58223,595,0,395,329,127,261,236,32,236,2023,227,2023,1376,56,1376,16,97,16,0,0,0,49,49,8,8,19,19,7,7,0,0,0,0,44,44,29,29,27,27,44,44,28,28,85,32,85,100,100,8536,8537,1.491,1.491,94.702,94.711,16,16,2826,2800,1187,1187,251,251,0.034887,65.9428,832, 23.399714975
S19S_0049,-66.80038,18.17443, ,0.347,0.133,0.700,1,0.177405,5.17,5157.45651136,0.695551,608,0,446,771,133,255,207,34,207,2528,277,2528,1392,53,1392,43,84,43,0,0,0,23,23,10,10,22,22,4,4,0,0,0,0,21,21,30,30,29,29,40,40,34,34,96,15,96,100,100,2678,2678,0.578,0.578,33.673,33.671,0,0,1005,1000,447,447,141,141,0.034887,31.2527,832, 72.4918807889
S19S_0050,-149.14198,68.66953, ,0.323,0.229,0.485,1,0.134025,21.35,21423.8411154,0.447775,115,0,109,856,81,126,-118,394,-118,225,36,225,214,64,214,-38,182,-38,66,100,66,0,0,0,0,0,0,0,0,0,0,99,99,91,91,16,16,43,43,41,41,127,127,65,27,65,0,0,216,216,0.001,0.001,0.005,0.005,0,0,0,0,76,76,28,28,0.058023,0.050729,948, 837.438036772
