Study_Code,Sample_ID,Total_Bacteria_cells_per_gram,Total_Photorophs_cells_per_gram,Total_Heterotrophs_cells_per_gram
WHONDRS_S19S,S19S_0076_FCS-M,476000000,24800000,451000000
WHONDRS_S19S,S19S_0076_FCS-D,78700000,8610000,70100000
WHONDRS_S19S,S19S_0026_FCS-U,500000000,17500000,482000000
WHONDRS_S19S,S19S_0026_FCS-M,509000000,18100000,491000000
WHONDRS_S19S,S19S_0026_FCS-D,625000000,19100000,605000000
WHONDRS_S19S,S19S_0091_FCS-U,102000000,447000,102000000
WHONDRS_S19S,S19S_0091_FCS-M,8370000,2160000,6210000
WHONDRS_S19S,S19S_0091_FCS-D,93300000,33700000,59700000
WHONDRS_S19S,S19S_0041_FCS-U,1790000000,999000,1790000000
WHONDRS_S19S,S19S_0041_FCS-M,3710000000,51200000,3660000000
WHONDRS_S19S,S19S_0041_FCS-D,2090000000,665000,2090000000
WHONDRS_S19S,S19S_0048_FCS-U,33900000,123000,33800000
WHONDRS_S19S,S19S_0048_FCS-M,51200000,284000,50900000
WHONDRS_S19S,S19S_0048_FCS-D,49800000,4810000,45000000
WHONDRS_S19S,S19S_0006_FCS-U,1320000000,37600000,1280000000
WHONDRS_S19S,S19S_0006_FCS-M,1070000000,5350000,1070000000
WHONDRS_S19S,S19S_0006_FCS-D,887000000,12900000,874000000
WHONDRS_S19S,S19S_0087_FCS-U,315000000,10700000,304000000
WHONDRS_S19S,S19S_0087_FCS-M,275000000,12400000,263000000
WHONDRS_S19S,S19S_0087_FCS-D,130000000,2300000,127000000
WHONDRS_S19S,S19S_0043_FCS-U,3880000000,107000000,3770000000
WHONDRS_S19S,S19S_0043_FCS-M,8850000000,414000000,8430000000
WHONDRS_S19S,S19S_0043_FCS-D,4100000000,1730000000,2370000000
WHONDRS_S19S,S19S_0039_FCS-U,4130000000,14900000,4120000000
WHONDRS_S19S,S19S_0039_FCS-M,6010000000,200000000,5810000000
WHONDRS_S19S,S19S_0039_FCS-D,2180000000,11500000,2160000000
WHONDRS_S19S,S19S_0100_FCS-U,11600000000,551000000,11100000000
WHONDRS_S19S,S19S_0100_FCS-M,117000000,30800000,85900000
WHONDRS_S19S,S19S_0100_FCS-D,7740000000,3690000,7740000000
WHONDRS_S19S,S19S_0053_FCS-U,89800000,12600000,77200000
WHONDRS_S19S,S19S_0053_FCS-M,287000000,63100000,223000000
WHONDRS_S19S,S19S_0053_FCS-D,231000000,17200000,213000000
WHONDRS_S19S,S19S_0015_FCS-U,4240000000,47700000,4190000000
WHONDRS_S19S,S19S_0015_FCS-M,1140000000,9670000,1130000000
WHONDRS_S19S,S19S_0015_FCS-D,3270000000,229000000,3040000000
WHONDRS_S19S,S19S_0071_FCS-U,2140000000,12900000,2130000000
WHONDRS_S19S,S19S_0071_FCS-M,445000000,22800000,422000000
WHONDRS_S19S,S19S_0071_FCS-D,557000000,39800000,517000000
WHONDRS_S19S,S19S_0099_FCS-U,304000000,12000000,292000000
WHONDRS_S19S,S19S_0099_FCS-M,68700000,9540000,59100000
WHONDRS_S19S,S19S_0099_FCS-D,160000000,5470000,155000000
WHONDRS_S19S,S19S_0049_FCS-U,65200000,1090000,64100000
WHONDRS_S19S,S19S_0049_FCS-M,676000000,652000,675000000
WHONDRS_S19S,S19S_0049_FCS-D,394000000,64800,394000000
